324.1649;189.8866
307.1773;204.6295
289.938;219.4775
272.7166;234.3301
255.6677;249.0961
238.5744;263.7665
221.4953;278.597
299.5872;179.5177
282.5354;194.4062
265.4714;209.199
248.3942;223.8925
231.334;238.6181
214.0723;253.5323
196.9134;268.3674
275.2313;169.2764
258.0725;183.9657
241.1018;198.7045
223.9525;213.5841
206.7988;228.4212
189.6126;243.2523
172.5802;257.9617
250.6963;158.8718
233.5835;173.6238
216.4923;188.4159
199.4471;203.3271
182.3664;218.0788
165.2297;232.7748
148.2772;247.5583
226.2659;148.5316
209.1523;163.4189
192.1445;178.1155
174.9559;192.8155
157.8514;207.6561
140.6614;222.4932
123.6161;237.3464
201.7409;138.2716
184.6742;153.0357
167.5892;167.7859
150.4919;182.5561
133.4358;197.3615
116.3117;212.1429
99.17589;226.9456
177.3819;127.8396
160.3334;142.5914
143.0709;157.4534
126.051;172.3375
108.8363;187.0567
91.79509;201.6767
74.67638;216.5616
